"VIGENCIA","NOMBRE AEROPUERTO","CIUDAD","DEPARTAMENTO","OPERACIÓN","INDICADOR (OASI)","INDICADOR (IATA)","ELEVACCIÓN (PIES)","ELEVACIÓN (METROS)","TEMPERATURA (°C)","LATITUD","LONGITUD"
"2025","Alcides Fernandez","acandi","choco","nacional","skad","acd","30","9","0","8.498266667","-77.27401389"
"2025","Hacaritama","aguachica","cesar","nacional","skag","hay","554","169","0","8.246333333","-73.57954722"
"2025","Antonio Roldan Betancourt","apartado","antioquia","nacional","sklc","apo","52","16","34","7.81175","-76.71644167"
"2025","Araracuara","araracuara","caqueta","nacional","skac","acr","800","244","0","6.07527778","-72.39811389"
"2025","Santiago Perez Quiroz","arauca","arauca","nacional","skuc","auc","423","129","35","7.068911111","-70.73695833"
"2025","Jose Celestino Mutis","bahia solano","choco","nacional","skbs","bsc","79","24","30","6.203111111","-77.39497222"
"2025","Ernesto Cortissoz","barranquilla","atlantico","internacional","skbq","baq","95","29","33","1.088946111","-74.78067778"
"2025","El Dorado","bogota","bogota","internacional","skbo","bog","8,358","2548","20","4.7016","-74.14694444"
"2025","Palonegro","bucaramanga","santander","internacional","skbg","bga","3,901","1189","28","7.126380556","-73.184725"
"2025","Gerardo Tobar Lopez","buenaventura","valle del cauca","nacional","skbu","bun","44","13","34","3.819572222","-76.98990556"
"2025","Alfonso Bonilla Aragon","cali","valle del cauca","internacional","skcl","clo","3,162","964","33","3.543111111","-76.38169167"
"2025","Rafael Nuñez","cartagena","bolivar","internacional","skcg","ctg","7","2","32","10.44204167","-75.51277778"
"2025","Juan H. White","caucasia","antioquia","nacional","skcu","caq","207","63","0","7.980222222","-75.19815278"
"2025","Mandinga","condoto","choco","nacional","skcd","cog","166","51","0","5.071961111","-76.676625"
"2025","Las Brujas","corozal","sucre","nacional","skcz","czu","565","172","35","9.332597222","-75.28522222"
"2025","Camilo Daza","cucuta","nte de santander","internacional","skcc","cuc","1,089","332","34","7.927388889","-72.51158889"
"2025","El Tomin","el bagre","antioquia","nacional","skeb","ebg","177","54","0","7.595786111","-74.809"
"2025","Santiago Vila","flandes","cundinamarca","nacional","skgi","gir","902","275","30","4.275347222","-74.79608889"
"2025","Gustavo Artunduaga Paredes","florencia","caqueta","nacional","skfl","fla","792","241","33","1.589263889","-75.56443056"
"2025","Juan Casiano","guapí","cauca","nacional","skgp","gpi","32","10","0","2.570030556","-77.89798889"
"2025","Cesar Gaviria","inírida","guainia","nacional","skpd","pda","325","99","32","3.854258333","-67.90646667"
"2025","San Luis","ipiales","nariÃ±o","nacional","skip","ipi","9,760","2975","21","0.861488889","-77.66750833"
"2025","Virgilio Barco Vargas","la chorrera","amazonas","nacional","skhz","lch","593","181","0","-1.456361111","-72.80108333"
"2025","El Refugio","la macarena","meta","nacional","skna","lmc","778","237","29","2.173533333","-73.78617778"
"2025","La Pedrera","la pedrera","amazonas","nacional","sklp","lpd","262","80","0","-1.324347222","-69.58159722"
"2025","Alfredo Vasquez Cobo","leticia","amazonas","internacional","sklt","let","271","83","31","-4.191908333","-69.94220278"
"2025","Enrique Olaya Herrera","medellin","antioquia","nacional","skmd","mde","4,922","1500","29","6.220477778","-75.59042778"
"2025","Fabio A Leon Bentley","mitÃº","vaupes","nacional","skmu","mvp","557","170","32","1.253552778","-70.23405833"
"2025","San Bernardo","mompox","bolivar","nacional","skmp","mmp","72","22","0","9.258472222","-74.43833333"
"2025","El Pindo","montelibano","cordoba","nacional","skml","mtb","157","48","0","7.972005556","-75.43266111"
"2025","Benito Salas","neiva","huila","nacional","sknv","nva","1,482","452","35","2.950286111","-75.29402222"
"2025","Reyes Murillo","nuquÃ­","choco","nacional","sknq","nqu","16","5","0","5.711244444","-77.26099444"
"2025","Aguas Claras","ocaÃ±a","nte de santander","nacional","skoc","ocv","3,839","1170","19","8.315108333","-73.35841944"
"2025","Juan Jose Rondon","paipa","boyaca","nacional","skpa","ron","8,174","2491","14","5.764961111","-73.10531111"
"2025","Contador","pitalito","huila","nacional","skpi","ptx","4,221","1287","0","1.857708333","-76.08598611"
"2025","Pizarro","pizarro","choco","nacional","sqzj","pzr","16","5","0","4.964330556","-77.36655556"
"2025","Guillermo Leon Valencia","popayan","cauca","nacional","skpp","ppn","5,687","1733","25","2.454352778","-76.60979722"
"2025","El Embrujo","providencia","san andres y providencia","nacional","skpv","pva","16","5","32","13.35716389","-81.357925"
"2025","Tres De Mayo","puerto asÃ­s","putumayo","nacional","skas","puu","813","248","32","0.505705556","-76.50070833"
"2025","German Olano","puerto carreÃ±o","vichada","nacional","skpc","pcr","177","54","36","6.185111111","-67.49250833"
"2025","Caucaya","puerto leguÃ­zamo","putumayo","nacional","sklg","lqm","626","191","0","-0.181983333","-74.77098889"
"2025","El Caraño","quibdÃ³","choco","nacional","skui","uib","204","62","31","5.690797222","-76.64121944"
"2025","Gustavo Rojas Pinilla","san andrÃ©s","san andres y providencia","internacional","sksp","adz","18","5","30","12.58366111","-81.71133889"
"2025","Los Pozos","san gil","santander","nacional","sksg","lpz","5,579","1700","0","6.590641667","-73.12903333"
"2025","San Jose Del Guaviare","san josÃ©","san jose del guaviare","nacional","sksj","sje","613","187","33","2.579330556","-72.63938611"
"2025","San Vicente Del Caguan","san vicente","san vicente del caguan","nacional","sksv","svc","879","268","30","2.152280556","-74.76647778"
"2025","Colonizadores","saravena","arauca","nacional","sksa","auc","672","205","28","6.950366667","-71.85620278"
"2025","Gustavo Vargas","tame","arauca","nacional","sktm","tme","1,241","378","29","6.451005556","-71.76005"
"2025","Tarapaca","tarapaca","amazonas","nacional","skra","tap","243","74","0","-2.895741667","-69.74968056"
"2025","Tibu","tibu","nte de santander","nacional","sktb","tbu","171","52","0","8.6315","-72.73122222"
"2025","Timbiqui","timbiqui","cauca","nacional","skmb","tbd","16","5","0","2.778555556","-77.66802778"
"2025","Golfo De Morrosquillo","tolu","sucre","nacional","sktl","tlu","7","2","28","9.509633333","-75.58602778"
"2025","La Florida","tumaco","nariÃ±o","nacional","skco","tco","20","6","30","1.814411111","-78.74925278"
"2025","Villagarzon","villagarzÃ³n","putumayo","nacional","skvg","vgz","1,240","378","0","0.981166667","-76.60380556"
"2025","Vanguardia","villavicencio","meta","nacional","skvv","vvc","1,381","421","32","4.168405556","-73.61465833"
"2025","El Alcaravan","yopal","casanare","nacional","skyp","eyp","1,027","313","33","5.319097222","-72.38404167"
"2025","Arturo Michelena","valencia","venezuela","internacional","svva","vln","1,417","432","31","10.15","-67.923"
